"Which CNCF project(s) do you primarily contribute to?
Specify the project(s) where you are most active (e.g., Kubernetes, Prometheus, Argo).","What is your primary contributor role?
Select the role that best describes your core activities within the community.","How long have you been contributing to CNCF projects?
This helps us understand if AI adoption patterns differ between seasoned maintainers and new contributors.","Do any of the projects you contribute to currently disclose the usage of AI tools in its documentation or governance?
Does the project's README, website, or contributing guide explicitly mention if AI is used in the development process?","Are you aware of any specific AI policies governing your project(s)?
Whether at the project or org level, are there rules you are expected to follow?","If yes, which policy does your project have?
Please describe the current ""vibe"" or official stance on AI tools in your project(s).","If yes, could you provide link to the repository/policy?","How do you currently use AI in your workflow? Select all that apply.
Please categorize your level of AI interaction from simple external queries to fully integrated automation.","Which AI tools do you use most frequently for project work? Tell us your ""stack"" (e.g., GitHub Copilot, ChatGPT, KubeGPT, etc.).",Where is your projects integrating AI-powered tools? Identify where AI is being used as a project-wide utility rather than just an individual's personal tool.,"In your opinion, in which areas has AI been most helpful? (Select all that apply) Where are you seeing the biggest ""productivity wins"" or quality improvements?","Do you believe AI-assisted contributions should require disclosure in pull requests? We are seeking community sentiment on whether ""AI-authored"" tags should be a standard requirement for transparency.","When reviewing pull requests from new contributors in your CNCF project, what challenges or concerns do you encounter if the submitted code appears to be partially or fully generated using AI tools?
As a reviewer, how do you handle the influx of code that may not have been written by a human?","What is your biggest concern regarding AI usage in CNCF projects?
From legal liability to the ""noise"" of low-quality PRs, what keeps you up at night?",Anything else you’d like to share on the topic? Use this space for any nuances we might have missed in the multiple-choice questions.
kube-state-metrics,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,No,No policies exist,https://github.com/kubernetes/kube-state-metrics,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Copilot, Gemini",Code Reviews,"Writing/Refactoring Code, Debugging and Troubleshooting, Code Reviews / Pull Requests Analysis","Yes, in some cases",We don’t reject it but we ask the developer to improve the PR,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Kubernetes,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, but most do not",Yes,AI usage is allowed (but only specific tools),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Claude Code,"Code Reviews, Issue Triaging, CI/CD","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We don’t reject it but we ask the developer to improve the PR,"License / legal compliance, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
SlimToolkit,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,AI usage is allowed (any tool is ok),,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","GitHub Copilot, KiloCode",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis",No,We follow the usual PR review process,High volume of low-effort issues or PRs,
"external-secrets, Atlantis, cert-manager","Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",1 year - 2 years,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Code Claude, Gemini CLI",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",It doesn’t apply to me,"Security vulnerabilities, High volume of low-effort issues or PRs",
Contour,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, but most do not",No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",GitHub Copilot,It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis",Unsure,We follow the usual PR review process,High volume of low-effort issues or PRs,
OpenEBS,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Copilot,Code Reviews,Writing/Improving Documentation,"Yes, always",We follow the usual PR review process,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload",
Kueue,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), maintainer",2 years+,No,Yes,AI usage is allowed (any tool is ok),https://www.kubernetes.dev/docs/guide/pull-requests/#ai-guidance,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.",ChatGPT. gemini,It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
Kubernetes org,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, all",Yes,AI usage is allowed (any tool is ok),kubernetes policy,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Claude,It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Envoy,"Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing, Some coding as well and general community management",2 years+,"Yes, all",Yes,AI usage is allowed (any tool is ok),https://github.com/envoyproxy/ai-gateway/blob/main/CONTRIBUTING.md#use-of-generative-ai-policy,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Kapa, Dosu, Gemini for review","Code Reviews, Issue Triaging, Documentation","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Community Management / Communication, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases","Depends on the quality of PR, we have taken help of google gemini tool for code review to help reduce burden","Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",I think Kapa.ai has been amazingly impactful for our work in Envoy with the community
Jaegar,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,"Yes, all",Yes,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Claude, antigravity agents, gemini",Code Reviews,"Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase","Yes, in some cases",It doesn’t apply to me,"Security vulnerabilities, License / legal compliance",
distribution,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","claude, codex",It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, High volume of low-effort issues or PRs",
Landscape,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,"Yes, most but not all",Yes,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",GitHub Copilot,Code Reviews,"Writing/Refactoring Code, Debugging and Troubleshooting, Understanding the codebase","Yes, always",We follow the usual PR review process,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
"Kubernetes, kyverno ","Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",6 months - 1 year,"Yes, all",No,AI usage is allowed (any tool is ok),,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.","Chatgpt, claude ",Code Reviews,"Writing/Improving Documentation, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Kyverno,"Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",1 year - 2 years,"Yes, but most do not",Yes,AI usage is allowed (any tool is ok),https://github.com/kyverno/community/blob/main/AI_USAGE_POLICY.md,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Copilot, Claude, Curser",Issue Triaging,Understanding the codebase,"Yes, always",We follow the usual PR review process,"Security vulnerabilities, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
Keylime,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,https://github.com/keylime/keylime,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Claude Code, CodeRabbit",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Community Management / Communication, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,Security vulnerabilities,It would be nice to have a general guidance for the AI usage policy to include in the project (e.g. example policies)
Kubernetes,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, most but not all",No,AI usage is allowed (but only specific tools),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Claude and GH copilot,Code Reviews,"Writing/Improving Documentation, Community Management / Communication, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",The PR is automatically rejected,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
Fluent Bit,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, all",No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Copilot, Openrouter",Code Reviews,"Writing/Improving Documentation, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",Non-determinism is a key issue seen (outside of just plain wrong hallucination) with the same tool giving different output when run twice on the same input.
capsule,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing, Core Maintainer",2 years+,No,No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.","Codex,Copilot",Code Reviews,"Writing/Refactoring Code, Debugging and Troubleshooting, Code Reviews / Pull Requests Analysis","Yes, in some cases",We follow the usual PR review process,"Security vulnerabilities, Reviewer or maintainer workload",
Headlamp,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Claude, GH Copilot",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis",No,We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs","I think requirements and policies asking to disclose AI use just serve to have some sort of ""automatic labeling"" so decisions can be made on it (like considering PRs 2nd class, or outright rejecting them). This does not fix the problem. The problem can be fixed by having improved AI-powered reviews (to catch slop) and by lowering incentives to the users creating AI slop PRs. Most of the AI slop PRs we get are from individuals attempting to get noticed for LFX mentorships."
Cortex,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, all",Yes,AI usage is allowed (any tool is ok),https://github.com/cortexproject/cortex/blob/master/GENAI_POLICY.md,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",GitHub Copilot,Code Reviews,"Writing/Refactoring Code, Debugging and Troubleshooting","Yes, in some cases",We don’t reject it but we ask the developer to improve the PR,"License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Cloud Native Buildpacks,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Maintainer",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Claude Code, Claude Desktop, Perplexity AI, Azure AI ","Code Reviews, Issue Triaging","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis",Unsure,We follow the usual PR review process,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload","disclosure is an interest topic, and having a guidence and support for tooling in CNCF for the projects we maintain will help us move forward the innovation. Also, thre are so many projects in CNCF, some of them solve similar problems, trying to find a way where similar projects can be related and AI innovation ideas can emerge between them could be something interesting "
Kairos,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Claude, cursor, codex, opencode, github copilot",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always","we haven't had a huge influx, most PRs are manageable atm","Reviewer or maintainer workload, High volume of low-effort issues or PRs",
CoHDI,"Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing, Outreach such as IOWN Global Forum, OCP, AI-RAN, etc",2 years+,No,Yes,No policies exist,,None,Gemini,It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Code Reviews / Pull Requests Analysis","Yes, in some cases",We follow the usual PR review process,License / legal compliance,
Shipwright,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing, Maintainer",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","copilot, claude code",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Community Management / Communication, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Capsule,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,"Yes, but most do not",Yes,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",GitHub Copilot,"Code Reviews, CI/CD","Writing/Improving Documentation, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis",No,We follow the usual PR review process,"High volume of low-effort issues or PRs, Impact on community health and contributor growth",
WasmEdge,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, most but not all",Yes,AI usage is allowed (any tool is ok),https://github.com/WasmEdge/WasmEdge/blob/master/AGENTS.md#ai-assistance-disclosure,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",ClaudeCode > Codex > GitHub Copilot,Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
CoHDI,"Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Copilot,It doesn't,"Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",We don’t reject it but we ask the developer to improve the PR,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",
KubeStellar,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,"Yes, all",Yes,AI usage is allowed (any tool is ok),,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",All,"Code Reviews, Issue Triaging, CI/CD","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Community Management / Communication, Understanding the codebase, Code Reviews / Pull Requests Analysis",No,We don’t accept human prs,Regression. Especially UI,"Learn - https://arxiv.org/abs/2604.09388
Evaluate - https://console.kubestellar.io/acmm 
Watch - https://kubestellar.io/live/hive 
Leaderboard - https://kubestellar.io/en/acmm-leaderboard"
Kpt,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,"Yes, most but not all",Yes,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Github Copilot,"Code Reviews, Issue Triaging","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",It doesn’t apply to me,"Security vulnerabilities, High volume of low-effort issues or PRs",
Bootc,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",6 months - 1 year,No,Yes,AI usage is allowed (any tool is ok),https://github.com/bootc-dev/bootc,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","opencode with local models, usually Qwen 3.6",It doesn't,"Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",It doesn’t apply to me,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
OpenFGA,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,No,No,No policies exist,,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Claude Code, Code Rabbit, Copilot",Code Reviews,Code Reviews / Pull Requests Analysis,"Yes, always",We follow the usual PR review process,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth","As a code reviewer, AI has been a great additional asset. As a code generator, the results have been less positive."
OpenTelemetry,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,"Yes, most but not all",Yes,AI usage is allowed (any tool is ok),https://github.com/open-telemetry/community/blob/main/policies/genai.md,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Codex (ChatGPT),It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always","Besides following the usual PR review process, I like to ensure that both me and the author understand well the code written. If only the LLM understands the code, that's no good.","Security vulnerabilities, Reviewer or maintainer workload, Impact on community health and contributor growth","I think it's difficult to avoid AI contributions. We have to accept it as a tool and that more and more people will rely on it. I think disclosure is a must and part of responsible use. If maintainers/triagers eventually start to be overloaded with AI contributions done irresponsibly or in an automated fashion, we should have a streamlined system to warn users and consider temporary suspension from interaction (a temporary block) in the org's projects. Many open source projects are going this route."
External-secrets,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",6 months - 1 year,"Yes, all",Yes,AI usage is allowed (any tool is ok),https://github.com/external-secrets/external-secrets/blob/1fc204cf07f2c15b2de79f43dbcfc37422fef58d/docs/contributing/llm-policy.md,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",claude code,Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",It doesn’t apply to me,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Kubernetes,"Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",6 months - 1 year,No,No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.",Copilot,It doesn't,"Writing/Improving Documentation, Community Management / Communication",Unsure,We don’t reject it but we ask the developer to improve the PR,Security vulnerabilities,
"confidential containers, containerd","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, but most do not",Yes,AI usage is allowed (any tool is ok),https://github.com/kata-containers/community/blob/main/CONTRIBUTING.md#ai-generated-code,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Cursor,"Code Reviews, Code assistant","Writing/Refactoring Code, Debugging and Troubleshooting, Understanding the codebase","Yes, always",We follow the usual PR review process,"License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Kairos,"Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Claude Code, OpenCode",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",It doesn’t apply to me,"License / legal compliance, Impact on community health and contributor growth",
kubernetes,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,No,Yes,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","GitHub Copilot, Claude Code",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Understanding the codebase","Yes, always",It doesn’t apply to me,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Helm,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",6 months - 1 year,"Yes, but most do not",No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Copilot in github, opencode with codex locally",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",It doesn’t apply to me,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Argo Rollouts,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",1 year - 2 years,No,Yes,AI usage is allowed (any tool is ok),https://github.com/argoproj/argoproj/blob/2a6d9e4109c9b082d82d4634647c7dd8c0ef632e/community/genai.md,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Claude code mainly. Sometimes Cursor ",Code Reviews,"Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Cortex Metrics,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,"Yes, all",Yes,AI usage is allowed (any tool is ok),https://github.com/cortexproject/cortex/blob/master/GENAI_POLICY.md,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Codex, ChatGPT",It doesn't,"Debugging and Troubleshooting, Understanding the codebase","Yes, in some cases",It doesn’t apply to me,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Serverless Workflow Specification,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Claude, Gemini","Code Reviews, Issue Triaging, CI/CD","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
